Monday,Friday,Monday_growth,Friday_growth,Growth difference
1980-01-07,1980-01-04,-1.96,-0.27,-1.69
1980-01-14,1980-01-11,-0.68,-0.42,-0.26
1980-01-21,1980-01-18,0.53,-0.92,1.45
1980-01-28,1980-01-25,0.68,-1.08,1.76
1980-02-04,1980-02-01,-0.25,0.66,-0.91
1980-02-11,1980-02-08,-0.66,0.71,-1.37
1980-02-25,1980-02-22,-0.57,1.51,-2.08
1980-03-03,1980-02-29,-0.25,1.03,-1.28
1980-03-10,1980-03-07,-1.18,0.37,-1.55
1980-03-17,1980-03-14,-1.77,3.1,-4.87
1980-03-24,1980-03-21,0.09,3.05,-2.96
1980-03-31,1980-03-28,-0.09,-1.38,1.29
1980-04-14,1980-04-11,0.2,0.92,-0.72
1980-04-21,1980-04-18,-3.51,0.75,-4.26
1980-04-28,1980-04-25,-0.21,-0.45,0.24
1980-05-05,1980-05-02,0.12,-0.75,0.87
1980-05-12,1980-05-09,-1.43,-0.06,-1.37
1980-05-19,1980-05-16,0.05,-0.3,0.35
1980-06-02,1980-05-30,0.36,-0.8,1.16
1980-06-09,1980-06-06,-0.65,-0.48,-0.17
1980-06-16,1980-06-13,0.0,0.01,-0.01
1980-06-23,1980-06-20,-0.38,-0.27,-0.11
1980-06-30,1980-06-27,1.28,0.0,1.28
1980-07-14,1980-07-11,-1.07,-1.32,0.25
1980-07-21,1980-07-18,-0.52,0.03,-0.55
1980-07-28,1980-07-25,-0.8,0.04,-0.84
1980-08-04,1980-08-01,-0.4,0.58,-0.98
1980-08-11,1980-08-08,-0.52,-0.05,-0.47
1980-08-18,1980-08-15,0.77,2.43,-1.66
1980-08-25,1980-08-22,-0.03,0.86,-0.89
1980-09-08,1980-09-05,1.01,0.48,0.53
1980-09-15,1980-09-12,-1.15,0.58,-1.73
1980-09-22,1980-09-19,-1.26,-0.14,-1.12
1980-09-29,1980-09-26,-0.48,2.06,-2.54
1980-10-06,1980-10-03,-0.62,-1.28,0.66
1980-10-13,1980-10-10,-1.2,-0.02,-1.18
1980-10-20,1980-10-17,-0.58,0.02,-0.6
1980-10-27,1980-10-24,0.81,0.51,0.3
1980-11-03,1980-10-31,-2.56,-1.39,-1.17
1980-11-10,1980-11-07,-1.18,-0.34,-0.84
1980-11-17,1980-11-14,-1.97,0.26,-2.23
1980-11-24,1980-11-21,-0.91,1.31,-2.22
1980-12-01,1980-11-28,1.81,1.13,0.68
1980-12-08,1980-12-05,0.85,2.43,-1.58
1980-12-15,1980-12-12,0.16,-1.1,1.26
1980-12-22,1980-12-19,-0.71,-1.03,0.32
1980-12-29,1980-12-26,0.5,0.13,0.37
