Monday,Friday,Monday_growth,Friday_growth,Growth difference
1981-01-05,1981-01-02,-0.36,-1.57,1.21
1981-01-12,1981-01-09,1.02,-0.81,1.83
1981-01-19,1981-01-16,1.05,-0.04,1.09
1981-01-26,1981-01-23,-0.58,0.22,-0.8
1981-02-02,1981-01-30,0.2,1.94,-1.74
1981-02-09,1981-02-06,0.68,0.32,0.36
1981-02-23,1981-02-20,-0.5,-0.65,0.15
1981-03-02,1981-02-27,0.21,-0.67,0.88
1981-03-09,1981-03-06,-0.4,-0.6,0.2
1981-03-16,1981-03-13,-0.14,-0.22,0.08
1981-03-23,1981-03-20,-0.59,-0.75,0.16
1981-03-30,1981-03-27,-0.9,0.53,-1.43
1981-04-06,1981-04-03,0.0,1.29,-1.29
1981-04-13,1981-04-10,0.58,0.85,-0.27
1981-04-27,1981-04-24,0.55,-0.66,1.21
1981-05-04,1981-05-01,0.44,1.61,-1.17
1981-05-11,1981-05-08,0.53,0.91,-0.38
1981-05-18,1981-05-15,0.43,-0.45,0.88
1981-06-01,1981-05-29,1.26,0.3,0.96
1981-06-08,1981-06-05,0.28,-0.69,0.97
1981-06-15,1981-06-12,1.1,-0.36,1.46
1981-06-22,1981-06-19,-0.18,-0.33,0.15
1981-06-29,1981-06-26,0.59,0.29,0.3
1981-07-13,1981-07-10,0.26,-0.33,0.59
1981-07-20,1981-07-17,0.74,0.97,-0.23
1981-07-27,1981-07-24,0.15,-1.03,1.18
1981-08-03,1981-07-31,-0.05,0.08,-0.13
1981-08-10,1981-08-07,-0.97,-0.05,-0.92
1981-08-17,1981-08-14,1.13,0.92,0.21
1981-08-24,1981-08-21,1.95,2.43,-0.48
1981-08-31,1981-08-28,0.96,0.02,0.94
1981-09-14,1981-09-11,0.27,-0.11,0.38
1981-09-21,1981-09-18,-0.43,-0.12,-0.31
1981-09-28,1981-09-25,-2.79,0.13,-2.92
1981-10-05,1981-10-02,0.28,-1.22,1.5
1981-10-12,1981-10-09,0.07,0.57,-0.5
1981-10-19,1981-10-16,-1.1,0.59,-1.69
1981-10-26,1981-10-23,-1.02,0.78,-1.8
1981-11-02,1981-10-30,-0.47,-2.63,2.16
1981-11-09,1981-11-06,-0.4,0.07,-0.47
1981-11-16,1981-11-13,-0.22,1.62,-1.84
1981-11-23,1981-11-20,-0.15,-0.48,0.33
1981-11-30,1981-11-27,-0.47,-0.75,0.28
1981-12-07,1981-12-04,0.92,0.34,0.58
1981-12-14,1981-12-11,-0.09,1.65,-1.74
1981-12-21,1981-12-18,0.41,0.02,0.39
