Monday,Friday,Monday_growth,Friday_growth,Growth difference
1979-01-08,1979-01-05,-0.74,0.47,-1.21
1979-01-15,1979-01-12,0.35,-0.23,0.58
1979-01-22,1979-01-19,-0.58,0.28,-0.86
1979-01-29,1979-01-26,0.28,0.1,0.18
1979-02-05,1979-02-02,0.21,1.52,-1.31
1979-02-12,1979-02-09,-1.13,0.09,-1.22
1979-02-26,1979-02-23,1.11,0.37,0.74
1979-03-05,1979-03-02,-0.1,-0.86,0.76
1979-03-12,1979-03-09,-0.6,0.55,-1.15
1979-03-19,1979-03-16,0.46,-0.79,1.25
1979-03-26,1979-03-23,-0.57,0.51,-1.08
1979-04-02,1979-03-30,-0.87,0.91,-1.78
1979-04-09,1979-04-06,-0.19,0.33,-0.52
1979-04-23,1979-04-20,-0.84,-0.2,-0.64
1979-04-30,1979-04-27,-0.28,0.11,-0.39
1979-05-07,1979-05-04,0.82,1.68,-0.86
1979-05-14,1979-05-11,0.08,0.15,-0.07
1979-05-21,1979-05-18,-0.13,-0.03,-0.1
1979-06-04,1979-06-01,-0.94,-0.04,-0.9
1979-06-11,1979-06-08,-1.12,0.27,-1.39
1979-06-18,1979-06-15,0.16,0.31,-0.15
1979-06-25,1979-06-22,0.14,0.33,-0.19
1979-07-02,1979-06-29,0.27,0.63,-0.36
1979-07-09,1979-07-06,-0.12,-1.15,1.03
1979-07-16,1979-07-13,0.33,-0.25,0.58
1979-07-23,1979-07-20,-0.33,0.21,-0.54
1979-07-30,1979-07-27,-0.54,-0.12,-0.42
1979-08-06,1979-08-03,-1.14,0.0,-1.14
1979-08-13,1979-08-10,-0.21,-1.2,0.99
1979-08-20,1979-08-17,-0.39,-0.37,-0.02
1979-08-27,1979-08-24,-0.07,-0.55,0.48
1979-09-10,1979-09-07,0.13,-0.7,0.83
1979-09-17,1979-09-14,0.78,-0.36,1.14
1979-09-24,1979-09-21,-0.06,0.78,-0.84
1979-10-01,1979-09-28,-0.94,0.7,-1.64
1979-10-08,1979-10-05,3.05,1.27,1.78
1979-10-15,1979-10-12,0.16,1.09,-0.93
1979-10-22,1979-10-19,0.43,0.88,-0.45
1979-10-29,1979-10-26,-1.91,-0.14,-1.77
1979-11-05,1979-11-02,0.61,0.68,-0.07
1979-11-12,1979-11-09,0.55,-1.93,2.48
1979-11-19,1979-11-16,0.52,-0.42,0.94
1979-11-26,1979-11-23,0.03,-1.99,2.02
1979-12-03,1979-11-30,-0.9,0.31,-1.21
1979-12-10,1979-12-07,0.17,-0.14,0.31
1979-12-17,1979-12-14,0.95,-0.38,1.33
1979-12-24,1979-12-21,-0.11,-0.07,-0.04
